Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
4/4/2025,4,Piztache,Rober,Rober / Piztache,1,0,-2,4,2
4/4/2025,5,Piztache,Jerry,Jerry / Piztache,1,1,2,5,2
4/4/2025,5,Kilo,Rober,Rober / Kilo,1,0,-2,5,2
4/25/2025,1,Piztache,Kilo,Kilo / Piztache,1,1,1,8,2
4/25/2025,1,Jorge,Rober,Rober / Jorge,1,0,-1,8,2
4/25/2025,2,Piztache,Kilo,Kilo / Piztache,1,1,1,9,2
4/25/2025,2,Jorge,Rober,Rober / Jorge,1,0,-1,9,2
4/25/2025,3,Jorge,Rober,Rober / Jorge,1,1,1,10,2
4/25/2025,3,Kilo,Jerry,Jerry / Kilo,1,0,-1,10,2
4/25/2025,4,Kilo,Rober,Rober / Kilo,1,1,1,11,2
4/25/2025,4,Jorge,Jerry,Jerry / Jorge,1,0,-1,11,2
5/2/2025,1,Piztache,Kilo,Kilo / Piztache,1,1,3,14,2
5/2/2025,1,Jorge,Rober,Rober / Jorge,1,0,-3,14,2
5/2/2025,2,Piztache,Rober,Rober / Piztache,1,1,2,15,2
5/2/2025,2,Kilo,Jorge,Jorge / Kilo,1,0,-2,15,2
5/2/2025,3,Kilo,Rober,Rober / Kilo,1,1,3,16,2
5/2/2025,3,Piztache,Jorge,Jorge / Piztache,1,0,-3,16,2
5/2/2025,4,Kilo,Rober,Rober / Kilo,1,1,2,17,2
5/2/2025,4,Piztache,Jorge,Jorge / Piztache,1,0,-2,17,2
5/2/2025,5,Kilo,Jorge,Jorge / Kilo,1,1,3,18,2
5/2/2025,5,Piztache,Rober,Rober / Piztache,1,0,-3,18,2
5/2/2025,6,Piztache,Jerry,Jerry / Piztache,1,1,2,19,2
5/2/2025,6,Kilo,Jorge,Jorge / Kilo,1,0,-2,19,2
5/2/2025,7,Jerry,Rober,Rober / Jerry,1,1,1,20,2
5/2/2025,7,Piztache,Kilo,Kilo / Piztache,1,0,-1,20,2
5/2/2025,8,Jorge,Rober,Rober / Jorge,1,1,4,21,2
5/2/2025,8,Piztache,Jerry,Jerry / Piztache,1,0,-4,21,2
5/2/2025,9,Jorge,Jerry,Jerry / Jorge,1,1,2,22,2
5/2/2025,9,Kilo,Rober,Rober / Kilo,1,0,-2,22,2
5/2/2025,10,Kilo,Rober,Rober / Kilo,1,1,2,23,2
5/2/2025,10,Jorge,Jerry,Jerry / Jorge,1,0,-2,23,2
5/2/2025,11,Kilo,Jorge,Jorge / Kilo,1,1,1,24,2
5/2/2025,11,Jerry,Rober,Rober / Jerry,1,0,-1,24,2
5/2/2025,12,Kilo,Jerry,Jerry / Kilo,1,1,3,25,2
5/2/2025,12,Jorge,Rober,Rober / Jorge,1,0,-3,25,2
5/2/2025,13,Kilo,Rober,Rober / Kilo,1,1,1,26,2
5/2/2025,13,Jorge,Jerry,Jerry / Jorge,1,0,-1,26,2
5/16/2025,1,Kilo,Rober,Rober / Kilo,1,1,2,29,2
5/16/2025,1,Piztache,Jerry,Jerry / Piztache,1,0,-2,29,2
5/16/2025,2,Kilo,Jorge,Jorge / Kilo,1,1,3,30,2
5/16/2025,2,Piztache,Rober,Rober / Piztache,1,0,-3,30,2
5/16/2025,3,Piztache,Jerry,Jerry / Piztache,1,1,2,31,2
5/16/2025,3,Kilo,Jorge,Jorge / Kilo,1,0,-2,31,2
5/16/2025,4,Jerry,Rober,Rober / Jerry,1,1,1,32,2
5/16/2025,4,Piztache,Kilo,Kilo / Piztache,1,0,-1,32,2
5/16/2025,5,Jorge,Rober,Rober / Jorge,1,1,1,33,2
5/16/2025,5,Piztache,Jerry,Jerry / Piztache,1,0,-1,33,2
5/16/2025,6,Jorge,Rober,Rober / Jorge,1,1,2,34,2
5/16/2025,6,Piztache,Kilo,Kilo / Piztache,1,0,-2,34,2
5/16/2025,7,Kilo,Jorge,Jorge / Kilo,1,1,1,35,2
5/16/2025,7,Jerry,Rober,Rober / Jerry,1,0,-1,35,2
5/16/2025,8,Piztache,Jorge,Jorge / Piztache,1,1,1,36,2
5/16/2025,8,Kilo,Jerry,Jerry / Kilo,1,0,-1,36,2
5/16/2025,9,Piztache,Kilo,Kilo / Piztache,1,1,1,37,2
5/16/2025,9,Jorge,Rober,Rober / Jorge,1,0,-1,37,2
5/16/2025,10,Piztache,Jorge,Jorge / Piztache,1,1,2,38,2
5/16/2025,10,Kilo,Rober,Rober / Kilo,1,0,-2,38,2
5/16/2025,11,Kilo,Jorge,Jorge / Kilo,1,1,2,39,2
5/16/2025,11,Piztache,Rober,Rober / Piztache,1,0,-2,39,2
5/23/2025,1,Jorge,Rober,Rober / Jorge,1,1,2,42,2
5/23/2025,1,Piztache,Kilo,Kilo / Piztache,1,0,-2,42,2
5/23/2025,2,Kilo,Jorge,Jorge / Kilo,1,1,1,43,2
5/23/2025,2,Jerry,Rober,Rober / Jerry,1,0,-1,43,2
5/23/2025,3,Piztache,Jerry,Jerry / Piztache,1,1,2,44,2
5/23/2025,3,Kilo,Jorge,Jorge / Kilo,1,0,-2,44,2
5/23/2025,4,Piztache,Jorge,Jorge / Piztache,1,1,1,45,2
